Date,Total,Time,human_date
2/3/2020,6,1,2nd Mar
3/3/2020,7,2,3rd Mar
4/3/2020,29,3,4th Mar
5/3/2020,30,4,5th Mar
6/3/2020,31,5,6th Mar
7/3/2020,34,6,7th Mar
8/3/2020,40,7,8th Mar
9/3/2020,47,8,9th Mar
10/3/2020,62,9,10th Mar
11/3/2020,73,10,11th Mar
12/3/2020,81,11,12th Mar
13/3/2020,84,12,13th Mar
14/3/2020,107,13,14th Mar
15/3/2020,114,14,15th Mar
16/3/2020,129,15,16th Mar
17/3/2020,143,16,17th Mar
18/3/2020,169,17,18th Mar
19/3/2020,194,18,19th Mar
20/3/2020,249,19,20th Mar
21/3/2020,332,20,21st Mar
22/3/2020,396,21,22nd Mar
23/3/2020,499,22,23rd Mar
24/3/2020,536,23,24th Mar
25/3/2020,657,24,25th Mar
26/3/2020,727,25,26th Mar
27/3/2020,887,26,27th Mar
28/3/2020,987,27,28th Mar
29/3/2020,1024,28,29th Mar
30/3/2020,1251,29,30th Mar
